"Link","Research Group","Institutions","Org Type","Country","Source"
"https://arxiv.org/abs/0908.0454","Centre National de la Recherche Scientifique","Centre National de la Recherche Scientifique; Laboratoire Charles Fabry","academic","FR","openalex"
"https://arxiv.org/abs/0907.5552","University of Wisconsin–Madison","University of Wisconsin–Madison","academic","US","openalex"
"https://journals.aps.org/pra/abstract/10.1103/PhysRevA.92.022336","University of Wisconsin–Madison","University of Wisconsin–Madison","academic","US","openalex"
"https://arxiv.org/abs/1908.06101","","","","","openalex-noaff"
"https://arxiv.org/abs/2001.04455","Caltech","California Institute of Technology; Jet Propulsion Laboratory","academic","US","openalex"
"https://arxiv.org/abs/2305.03406","Caltech","California Institute of Technology; Stanford University","academic","US","openalex"
"https://arxiv.org/abs/2108.02626","","","","","openalex-noaff"
"https://www.nature.com/articles/s41586-021-04273-w","QuTech","QuTech; Delft University of Technology; Netherlands Organisation for Applied Scientific Research","academic","NL","openalex"
"https://doi.org/10.1007/s00340-005-1917-z","Austrian Academy of Sciences","Austrian Academy of Sciences; Universität Innsbruck; Institute for Quantum Optics and Quantum Information Innsbruck","academic","AT","openalex"
"https://arxiv.org/abs/2407.07694","Oxford Research (Norway)","Oxford Research (Norway); University of Oxford; University of Oregon","industry","NO","openalex"
"https://doi.org/10.1103/PRXQuantum.6.010331","Caltech","California Institute of Technology; Tel Aviv University","academic","US","openalex"
"https://doi.org/10.1038/s41586-023-06481-y","Harvard","Harvard University; QuEra Computing (United States); Massachusetts Institute of Technology; Harvard University Press","mixed","US","openalex"
"https://doi.org/10.1103/PhysRevX.15.011009","Princeton University","Princeton University","academic","US","openalex"
"https://doi.org/10.48550/arXiv.2411.11708","","","","","openalex-noaff"
"https://doi.org/10.48550/arXiv.2408.08288","","","","","openalex-noaff"
"https://doi.org/10.1038/s41586-019-1197-0","Centre for Quantum Computation and Communication Technology","Centre for Quantum Computation and Communication Technology; UNSW Sydney; London Centre for Nanotechnology; University College London; Keio University","academic","AU","openalex"
"https://doi.org/10.48550/arXiv.2407.15783","Maryland","University of Maryland, College Park; University of Wisconsin–Madison; University of Massachusetts Amherst; École Polytechnique Fédérale de Lausanne","academic","US","openalex"
"https://doi.org/10.48550/arXiv.2506.03567","UNSW Sydney","UNSW Sydney; Centre for Quantum Computation and Communication Technology","academic","AU","openalex"
"https://doi.org/10.48550/arXiv.2510.17286","","","","","openalex-noaff"
"https://doi.org/10.48550/arXiv.2511.05465","","","","","openalex-noaff"
"https://arxiv.org/abs/2604.25987","","","","","openalex-noaff"
"https://arxiv.org/abs/1009.6126","Universität Innsbruck","Universität Innsbruck; University of Waterloo; McGill University; Austrian Academy of Sciences; Institute for Quantum Optics and Quantum Information Innsbruck","academic","AT","openalex"
"https://arxiv.org/abs/1711.11092","Austrian Academy of Sciences","Austrian Academy of Sciences; Institute for Quantum Optics and Quantum Information Innsbruck; Universität Ulm; Universität Innsbruck","academic","AT","openalex"
"https://arxiv.org/abs/2302.00565","Austrian Academy of Sciences","Austrian Academy of Sciences; Universität Innsbruck; Institute for Quantum Optics and Quantum Information Innsbruck; Alpine Quantum Technologies (Austria)","mixed","AT","openalex"
"https://arxiv.org/abs/1607.03042","","","","","openalex-noaff"
"https://arxiv.org/abs/1707.04344","Harvard","Harvard University; Massachusetts Institute of Technology; Center for Astrophysics Harvard & Smithsonian; California Institute of Technology","academic","US","openalex"
"https://arxiv.org/abs/1902.00284","Technische Universität Darmstadt","Technische Universität Darmstadt","academic","DE","openalex"
"https://arxiv.org/abs/2012.12281","Harvard","Harvard University; QuEra Computing (United States); Austrian Academy of Sciences; Universität Innsbruck; Stanford University; University of California, Berkeley; Massachusetts Institute of Technology; Harvard University Press","mixed","US","openalex"
"https://arxiv.org/abs/2207.06500","","","","","openalex-noaff"
"https://www.nature.com/articles/nature13171","UCSB","University of California, Santa Barbara; University of California, Riverside; Centre for Quantum Computation and Communication Technology","academic","US","openalex"
"https://www.nature.com/articles/s41586-019-1666-5","Google Quantum AI","Google (United States); University of Massachusetts Amherst; Ames Research Center; California Institute of Technology; University of California, Santa Barbara; Friedrich-Alexander-Universität Erlangen-Nürnberg; Oak Ridge National Laboratory; Quantum Science Center; University of California, Riverside; Stinger Ghaffarian Technologies (United States); Forschungszentrum Jülich; RWTH Aachen University; University of Michigan; University of Illinois Urbana-Champaign","industry","US","openalex"
"https://www.nature.com/articles/s41586-023-06096-3","IBM Research","IBM (United States); IBM Research - Thomas J. Watson Research Center; Cambridge Scientific (United States); University of California, Berkeley; Nippon Soken (Japan); RIKEN; Lawrence Berkeley National Laboratory","industry","US","openalex"
"https://arxiv.org/abs/1708.04214","QuTech","QuTech; Delft University of Technology; University of Wisconsin–Madison","academic","NL","openalex"
"https://arxiv.org/abs/2202.09252","QuTech","QuTech; Delft University of Technology; Netherlands Organisation for Applied Scientific Research","academic","NL","openalex"
"https://arxiv.org/abs/2403.12021","Caltech","California Institute of Technology","academic","US","openalex"
"https://doi.org/10.1038/ncomms5015","IBM Research","IBM (United States); RTX (United States)","industry","US","openalex"
"https://doi.org/10.48550/arXiv.2412.14647","USTC","University of Science and Technology of China; Beijing Academy of Artificial Intelligence; Shanghai Artificial Intelligence Laboratory","academic","CN","manual"
"https://doi.org/10.1103/PhysRevApplied.22.024073","Université Paris-Saclay","Université Paris-Saclay; Institut d’Optique Graduate School; Pennsylvania Academy of Science","academic","US","openalex"
